,Politicians,Sex,DOB,Political Party,Area of Represenation
0,komal oli,Female,,UML,
1,Giriraj Mani Pokharel,Male,,Maoist Centre,
2,Onsari Gharti Magar,Female,,Maoist Centre,
3,Prabhu Sah,Male,,,
4,Surendra Pandey,Male,,,
5,Rekha Thapa,Female,,,
6,nabina lama,Female,,,
7,prachanda,Male,,,
8,Madhav Kumar Nepal,Male,,,
9,Shashanka Koirala,Male,,,
10,Minendra Rijal,Male,,,
11,Mahindra Ray Yadav,Male,,,
12,Sunita Dangol,Male,,,
13,rabindra adhikari,Male,,,
14,Prithvi Man Gurung,Male,,,
15,Raghubir Mahaseth,Male,,,
16,Bijay Kumar Gachhadar,Male,,,
17,Lokendra Bahadur Chand,Male,,,
18,Baburam Bhattarai,Male,,,
19,Shishir Khanal,Male,,,
20,Kalpana Bista,Female,,,
21,Chitra Bahadur K.C.,Male,,,
22,Ghanashyam Bhusal,Male,,,
23,Binod Chaudhary,Male,,,
24,C. P. Mainali,Male,,,
25,Kunti devi Pokhrel,Female,,,
26,Balen Shah,Male,,,
27,Nanda Kishor Pun,Male,,,
28,Pampha Bhusal,Female,,,
29,Dhana Raj Acharya,Male,,,
30,Prem Ale,Male,,,
31,sunita baral,Female,,,
32,Shankar Pokharel,Male,,,
33,Mahesh Basnet,Male,,,
34,Sobita Gautam,Female,,,
35,Subaschandra Nemwang,Male,,,
36,Renu Dahal,Female,,,
37,Ram Kumari Jhakri,Female,,,
38,Arzu Rana Deuba,Female,,,
39,Bimalendra Nidhi,Male,,,
40,Ram Baran Yadav,Male,,,
41,Swarnim Wagle,Male,,,
42,Jhala Nath Khanal,Female,,,
43,Gokul Prasad Baskota,Male,,,
44,Arjun Narasingha K.C.,Male,,,
45,Mohammad Aftab Alam,Male,,,
46,Matrika Prasad Koirala,Male,,,
47,Rajendra Mahato,Male,,,
48,Subarna Shamsher Rana,Male,,,
49,Girija Prasad Koirala,Male,,,
50,Milan Pandey,Male,,,
51,Kamal Thapa,Male,,,
52,Gagan Thapa,Male,,,
53,Rajendra Prasad Lingden,Male,,,
54,bhamdev gautam,Male,,,
55,Kp Oli,Male,,,
56,Abdus Miya,Male,,,
57,Rabindra Mishra,Male,,,
58,Mahantha Thakur,Male,,,
59,Prakash Man Singh,Male,,,
60,Ranju Darshana,Female,,,
61,Chiri Babu Maharjan,Male,,,
62,Astalaxmi Shakya,Female,,,
63,Deepak Bohara,Male,,,
64,Birodh Khatiwada,Male,,,
65,Ganesh Man Singh,Male,,,
66,Pradeep Gyawali,Male,,,
67,Toshima Karki,Female,,,
68,Janardan Sharma,Male,,,
69,Man Mohan Adhikari,Male,,,
70,Ishwar Pokhrel,Male,,,
71,Pradip Paudel,Male,,,
72,Biraj Bhakta Shrestha,Male,,,
73,Upendra Mahato,Male,,,
74,Sujata Koirala,Female,,,
75,BP Koirala,Male,,,
76,Tulsi Giri,Male,,,
77,Lal Babu Pandit,Male,,,
78,Dormani Poudel,Male,,,
79,Bikram Pandey,Male,,,
80,Agni Prasad Sapkota,Male,,,
81,Abdul Rahim Ansari,Male,,,
82,Sagar Dhakal,Male,,,
83,Gokarna Bista,Male,,,
84,shree gurung,Male,,,
85,Matrika Prasad Yadav,Male,,,
86,Narayan Man Bijukchhe,Male,,,
87,Surendra Raj Pandey,Male,,,
88,Manushi Yami Bhattarai,Female,,,
89,niru devi pal,Female,,,
90,Padma Kumari Aryal,Female,,,
91,Janat Ansari,Male,,,
92,Bhuwan K.C.,Male,,,
93,Bishnu Prasad Paudel,Male,,,
94,Pukar Bam,Male,,,
95,Shekhar Koirala,Male,,,
96,Bidya Devi Bhandari,Female,,,
97,Ravi lamichane,Male,,,
98,CK Raut,Male,,,
99,Ujwal Thapa,Male,,,
100,Prithvi Subba Gurung,Male,,,
101,Yogesh Bhattarai,Male,,,
102,Barsaman Pun,Male,,,
103,Ram Chandra Poudel,Male,,,
104,Rupchandra Bista,Male,,,
105,Hisila Yami,Female,,,
106,Deepak Manange,Male,,,
